12:40:36.149481 config: drop-rate=0.00, max-delay=0s, seed=1554223236149334000
17:28:17.463668 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:56886, sz=1 is delivered
17:28:17.464264 [queue=0] packet #2, 127.0.0.1:56886 -> 127.0.0.1:8007, sz=1 is delivered
17:28:28.232698 [queue=0] packet #0, 127.0.0.1:52359 -> 127.0.0.1:8007, sz=0 is delivered
17:28:33.238896 [queue=0] packet #0, 127.0.0.1:52359 -> 127.0.0.1:8007, sz=0 is delivered
17:28:38.242708 [queue=0] packet #0, 127.0.0.1:52359 -> 127.0.0.1:8007, sz=0 is delivered
17:28:43.248736 [queue=0] packet #0, 127.0.0.1:52359 -> 127.0.0.1:8007, sz=0 is delivered
17:28:48.249731 [queue=0] packet #0, 127.0.0.1:52359 -> 127.0.0.1:8007, sz=0 is delivered
17:28:53.254920 [queue=0] packet #0, 127.0.0.1:52359 -> 127.0.0.1:8007, sz=0 is delivered
17:28:58.256896 [queue=0] packet #0, 127.0.0.1:52359 -> 127.0.0.1:8007, sz=0 is delivered
17:29:03.263011 [queue=0] packet #0, 127.0.0.1:52359 -> 127.0.0.1:8007, sz=0 is delivered
17:29:08.267060 [queue=0] packet #0, 127.0.0.1:52359 -> 127.0.0.1:8007, sz=0 is delivered
17:29:13.268946 [queue=0] packet #0, 127.0.0.1:52359 -> 127.0.0.1:8007, sz=0 is delivered
17:48:04.961649 [queue=0] packet #0, 127.0.0.1:57658 -> 127.0.0.1:8007, sz=0 is delivered
17:48:09.962863 [queue=0] packet #0, 127.0.0.1:57658 -> 127.0.0.1:8007, sz=0 is delivered
17:48:45.125397 [queue=0] packet #0, 127.0.0.1:58023 -> 127.0.0.1:8007, sz=0 is delivered
17:48:45.125714 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:58023, sz=1 is delivered
17:48:45.126290 [queue=0] packet #2, 127.0.0.1:58023 -> 127.0.0.1:8007, sz=1 is delivered
17:52:57.216063 [queue=0] packet #0, 127.0.0.1:52470 -> 127.0.0.1:8007, sz=0 is delivered
17:53:02.221669 [queue=0] packet #0, 127.0.0.1:52470 -> 127.0.0.1:8007, sz=0 is delivered
17:53:07.227833 [queue=0] packet #0, 127.0.0.1:52470 -> 127.0.0.1:8007, sz=0 is delivered
17:53:12.233978 [queue=0] packet #0, 127.0.0.1:52470 -> 127.0.0.1:8007, sz=0 is delivered
17:53:17.237160 [queue=0] packet #0, 127.0.0.1:52470 -> 127.0.0.1:8007, sz=0 is delivered
17:53:22.240562 [queue=0] packet #0, 127.0.0.1:52470 -> 127.0.0.1:8007, sz=0 is delivered
17:53:27.246685 [queue=0] packet #0, 127.0.0.1:52470 -> 127.0.0.1:8007, sz=0 is delivered
17:53:32.250205 [queue=0] packet #0, 127.0.0.1:52470 -> 127.0.0.1:8007, sz=0 is delivered
17:53:37.255085 [queue=0] packet #0, 127.0.0.1:52470 -> 127.0.0.1:8007, sz=0 is delivered
17:55:52.271875 [queue=0] packet #0, 127.0.0.1:50818 -> 127.0.0.1:8007, sz=0 is delivered
17:55:57.277714 [queue=0] packet #0, 127.0.0.1:50818 -> 127.0.0.1:8007, sz=0 is delivered
17:56:02.283868 [queue=0] packet #0, 127.0.0.1:50818 -> 127.0.0.1:8007, sz=0 is delivered
17:56:52.118243 [queue=0] packet #0, 127.0.0.1:60541 -> 127.0.0.1:8007, sz=0 is delivered
17:56:57.124621 [queue=0] packet #0, 127.0.0.1:60541 -> 127.0.0.1:8007, sz=0 is delivered
18:01:30.218682 [queue=0] packet #0, 127.0.0.1:59878 -> 127.0.0.1:8007, sz=0 is delivered
18:01:30.219003 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:59878, sz=1 is delivered
18:01:30.219548 [queue=0] packet #2, 127.0.0.1:59878 -> 127.0.0.1:8007, sz=1 is delivered
18:01:30.219948 [queue=0] packet #0, 127.0.0.1:59878 -> 127.0.0.1:8007, sz=2 is delivered
18:01:30.220199 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:59878, sz=4 is delivered
18:01:30.220776 [queue=0] packet #100000, 127.0.0.1:59878 -> 127.0.0.1:8007, sz=67 is delivered
